,Cu,Mn,Other,Si,C,Cr,Mo,Ni,P,S,V,N,Fe,Nb,Ti,W,Nb+Ta,B,Al,Co,Zn,Zr,Mg,Be,Ag,Sn,Ni+Co
0,0.5,0.85,0.5,2.875,,,,,,,,,,,,,,,,,,,,,,,
1,,0.7,,0.5,0.4,17.0,1.1,0.5,,,,,,,,,,,,,,,,,,,
2,,0.65,,0.45,0.08,,,,,,,,,,,,,,,,,,,,,,
3,,1.9,,0.5,0.09,,0.4,,0.025,0.02,,,,,,,,,,,,,,,,,
4,,1.3,,0.35,0.05,0.35,0.33,2.0,0.025,0.025,,,,,,,,,,,,,,,,,
5,,1.5,,0.375,0.06,0.35,0.35,2.05,0.025,0.025,0.25,,,,,,,,,,,,,,,,
6,,1.6,,0.4,0.06,0.75,0.6,2.4,,,,,,,,,,,,,,,,,,,
7,,1.65,,0.5,0.07,0.9,0.85,2.6,,,,,,,,,,,,,,,,,,,
8,,1.6,,0.5,0.025,23.0,3.0,9.0,,,,0.14,,,,,,,,,,,,,,,
9,,1.6,,0.5,0.025,23.0,3.0,9.0,,,,0.14,,,,,,,,,,,,,,,
10,,1.7,,1.1,0.45,26.0,,35.0,,,,,34.400000000000006,1.35,,,,,,,,,,,,,
11,,1.0,,0.9,0.4,26.0,,35.0,,,,,35.25999999999999,1.35,0.09,,,,,,,,,,,,
12,,1.2,,0.6,0.025,25.0,3.7,9.0,,,,0.2,,,,0.4,,,,,,,,,,,
13,,1.2,,0.6,0.025,25.0,3.7,9.0,,,,0.2,,,,0.4,,,,,,,,,,,
14,,6.5,,0.8,0.12,18.5,,8.5,0.025,0.025,,,,,,,,,,,,,,,,,
15,,6.5,,1.0,0.12,18.5,,8.5,,,,,,,,,,,,,,,,,,,
16,,1.75,,0.475,0.03,20.75,0.75,10.0,0.03,0.03,,,,,,,,,,,,,,,,,
17,,1.75,,0.825,0.03,20.75,0.75,10.0,0.03,0.03,,,,,,,,,,,,,,,,,
18,,1.75,,0.825,0.03,20.75,0.75,10.0,0.03,0.03,,,,,,,,,,,,,,,,,
19,0.75,1.75,,0.475,0.06,20.75,0.5,10.0,0.03,0.03,,,,,,,,,,,,,,,,,
20,0.75,1.75,,0.475,0.06,20.75,0.5,10.0,0.03,0.03,,,,,,,,,,,,,,,,,
21,,1.75,,0.5,0.12,24.0,,13.0,,,,,,,,,,,,,,,,,,,
22,0.75,1.75,,0.475,0.03,24.0,2.5,13.0,0.03,0.03,,,,,,,,,,,,,,,,,
23,0.75,1.75,,0.825,0.03,24.0,0.75,13.0,0.03,0.03,,,,,,,,,,,,,,,,,
24,0.75,1.75,,0.475,0.03,24.0,2.5,13.0,0.03,0.03,,,,,,,,,,,,,,,,,
25,,2.0,,0.9,0.03,24.0,,13.0,,,,,,,,,,,,,,,,,,,
26,0.3,1.8,,0.5,0.1,26.0,0.3,21.0,,,,,,,,,,,,,,,,,,,
27,,22.0,,25.0,4.5,,,,2.1,0.13,,,,,,,,,,,,,,,,,
28,,1.75,,0.5,0.1,23.0,2.5,20.0,,,,,,,,,,,,,,,,,,,
29,0.3,1.8,,0.5,0.1,26.0,0.3,21.0,,,,,,,,,,,,,,,,,,,
30,,24.0,,1.6,0.2,,,,20.0,,,,,,,,,,,,,,,,,,
31,0.75,1.75,,0.475,0.15,30.0,0.75,9.25,0.03,0.03,,,,,,,,,,,,,,,,,
32,0.75,1.75,,0.475,0.15,30.0,0.75,9.25,0.03,0.03,,,,,,,,,,,,,,,,,
33,,1.5,,0.75,0.035,17.0,2.5,12.5,0.045,0.03,,,,,,,,,,,,,,,,,
34,,1.75,,0.475,0.03,19.0,2.5,12.5,0.03,0.03,,,,,,,,,,,,,,,,,
35,,1.7,,0.8,0.02,18.8,2.6,12.5,,,,,,,,,,,,,,,,,,,
36,,1.7,,0.8,0.02,18.8,2.6,12.5,,,,,,,,,,,,,,,,,,,
37,0.3,1.75,,0.475,0.06,19.0,2.5,12.5,0.03,0.02,,,,,,,,,,,,,,,,,
38,0.03,1.75,,0.475,0.06,19.0,2.5,12.5,0.03,0.02,,,,,,,,,,,,,,,,,
39,,7.25,,0.45,0.0225,20.25,3.0,15.75,,,,0.16499999999999998,,,,,,,,,,,,,,,
40,,7.25,,0.45,0.0225,20.25,3.0,15.75,,,,0.16499999999999998,,,,,,,,,,,,,,,
41,,3.5,,0.3,0.03,18.5,4.5,13.5,,,,0.12,,,,,,,,,,,,,,,
42,,3.5,,0.3,0.03,18.5,4.5,13.5,,,,0.12,,,,,,,,,,,,,,,
43,,1.5,,0.8,0.05,19.0,2.8,13.0,,,,,,12.0,,,,,,,,,,,,,
44,,1.5,,0.8,0.05,19.0,2.8,13.0,,,,,,12.0,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,1.75,,0.6,0.1,25.5,,5.0,,,,,,,,,,,,,,,,,,,
47,,1.75,,0.6,0.1,25.5,,5.0,,,,,,,,,,,,,,,,,,,
48,,1.9,,0.7,0.04,19.5,,10.0,,,,,,,,,12.0,,,,,,,,,,
49,,1.9,,0.7,0.04,19.5,,10.0,,,,,,,,,12.0,,,,,,,,,,
50,,0.8,,1.4,0.42,35.0,,45.0,,,,,16.189999999999984,1.1,0.09,,,,,,,,,,,,
51,,0.8,,1.4,0.42,35.0,,45.0,,,,,16.189999999999984,1.1,0.09,,,,,,,,,,,,
52,,0.7,,,0.1,13.0,,,,,,,86.2,,,,,,,,,,,,,,
53,,0.7,,,0.1,17.0,1.0,0.5,,,,,,,,,,,,,,,,,,,
54,0.04,0.8,,1.0,0.08,12.0,0.5,0.6,0.04,0.03,,,,0.075,,,,,,,,,,,,,
55,0.4,0.6,,0.5,0.12,12.75,0.75,0.6,,,,,,,,,,,,,,,,,,,
56,,0.7,,0.8,0.03,13.0,0.5,4.7,,,,,,,,,,,,,,,,,,,
57,,0.7,,0.8,0.03,13.0,0.5,4.7,,,,,,,,,,,,,,,,,,,
58,0.4,0.6,,0.5,0.12,12.75,0.75,0.6,,,,,,,,,,,,,,,,,,,
59,,0.7,,0.4,0.18,16.5,1.15,0.15,,,,,,,,,,,,,,,,,,,
60,,0.35,,0.3,0.38,17.0,1.0,0.3,,,,,80.67,,,,,,,,,,,,,,
61,,,,0.3,0.3,1.0,0.2,,,,,,,,,,,,,,,,,,,,
62,,0.7,,0.8,0.07,17.5,,,,,,,,,,,,,,,,,,,,,
63,,0.4,,0.4,0.03,18.0,0.5,0.5,,,,,,0.5,,,,,,,,,,,,,
64,0.5,0.8,,0.5,0.03,18.5,0.5,0.5,0.03,0.015,,,,0.5,0.4,,,,,,,,,,,,
65,,0.6,,1.0,0.08,17.5,,,,,,,,,0.5,,,,,,,,,,,,
66,,0.75,,1.0,0.05,19.0,,10.0,,,,,,,,,,,,,,,,,,,
67,,1.25,,0.9,3.0,19.0,,10.0,,,,,,,,,,,,,,,,,,,
68,,0.7,,0.9,4.0,23.0,,13.0,,,,,58.4,,,,,,,,,,,,,,
69,,1.25,,,3.0,22.0,,12.0,,,,,61.75,,,,,,,,,,,,,,
70,,6.0,,1.1,0.1,18.0,,8.0,,,,,66.8,,,,,,,,,,,,,,
71,,6.0,,0.7,0.15,17.5,,8.0,,,,,67.65,,,,,,,,,,,,,,
72,,6.0,,0.7,0.1,18.0,,8.0,,,,,67.19999999999999,,,,,,,,,,,,,,
73,,1.25,,1.0,0.06,19.0,2.75,12.0,,,,,,,,,,,,,,,,,,,
74,,1.25,,0.7,0.025,19.0,2.75,12.0,,,,,64.275,,,,,,,,,,,,,,
75,,1.25,,0.6,0.03,19.0,2.75,12.0,,,,,64.37,,,,,,,,,,,,,,
76,,3.5,,0.8,0.03,18.0,4.5,17.5,,,,0.12,55.55,,,,,,,,,,,,,,
77,,3.25,,0.9,0.03,19.0,2.8,15.25,,,,,58.77,,,,,,,,,,,,,,
78,0.65,1.1,,0.8,0.02,25.0,3.0,9.0,,,,0.16499999999999998,59.665000000000006,,,0.6,,,,,,,,,,,
79,,1.1,,0.35,0.03,22.0,3.05,9.5,,,,0.15,,,,,,,,,,,,,,,
80,0.7,1.2,,0.5,0.04,25.0,3.8,9.0,,,,0.2,58.76,,,0.8,,,,,,,,,,,
81,1.5,1.5,,0.5,0.03,20.0,4.5,25.0,,,,,46.97,,,,,,,,,,,,,,
82,,0.8,,0.8,0.03,19.0,,10.0,,,,,,10.0,,,,,,,,,,,,,
83,,0.8,,0.8,0.03,19.0,2.75,12.0,,,,,,10.0,,,,,,,,,,,,,
84,,0.7,,1.0,0.06,25.0,,4.7,,,,,,,,,,,,,,,,,,,
85,,0.8,,0.7,3.0,23.0,3.0,12.0,,,,,,,,,,,,,,,,,,,
86,,,,,0.25,25.0,,24.0,,,,,49.7,1.05,,,,,,,,,,,,,
87,,2.75,,0.6,0.1,24.5,,20.0,,,,,52.05,,,,,,,,,,,,,,
88,,2.9,,0.5,0.1,25.0,,20.0,,,,,,,,,,,,,,,,,,,
89,,4.5,,0.3,0.15,22.0,,33.5,,,,,38.5,1.05,,,,,,,,,,,,,
90,,1.0,,0.9,0.4,26.0,,35.0,,,,,,1.35,,,,,,,,,,,,,
91,,0.95045,,1.0,0.1,22.0,0.1,11.0,,,,0.1,64.74955,,,,,,,,,,,,,,
92,,0.6,,0.2,0.12,,,,,,,,,,,,,,,,,,,,,,
93,,0.6,,0.4,0.08,,,,,,,,,,,,,,,,,,,,,,
94,,0.5,,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,
95,,0.5,,0.3,0.08,,,,,,,,,,,,,,,,,,,,,,
96,,0.6,,0.45,0.08,,,,,,,,,,,,,,,,,,,,,,
97,,0.42,,0.27,0.03,,,,0.015,0.012,,,,,,,,,,,,,,,,,
98,,0.4,,0.15,0.1,,0.5,,,,,,,,,,,,,,,,,,,,
99,,1.0,,0.65,0.05,,,,,,,,,,,,,,,,,,,,,,
100,,0.8,,0.5,0.1,,0.5,,,,,,,,,,,,,,,,,,,,
101,,1.0,,0.6,0.08,,,,0.015,0.015,,,,,,,,,,,,,,,,,
102,,0.55,,0.25,0.08,,,,,,,,,,,,,,,,,,,,,,
103,,0.75,,0.3,0.08,,,,,,,,,,,,,,,,,,,,,,
104,,1.0,,0.3,0.07,,,,0.025,0.025,,,,,,,,,,,,,,,,,
105,,0.95,,0.6,0.06,1.1,0.5,,,,,,,,,,,,,,,,,,,,
106,,1.0,,0.5,0.05,,,2.3,,,,,,,,,,,,,,,,,,,
107,,0.9,,0.3,0.1,,,3.5,0.025,0.025,,,,,,,,,,,,,,,,,
108,,1.3,,0.5,0.07,,,0.9,,,,,,,,,,,,,,,,,,,
109,,0.8,,0.35,0.1,9.0,1.0,0.7,,,0.2,0.04,,0.05,,,,,,,,,,,,,
110,,0.6,,0.35,0.06,9.0,0.9,0.9,,,0.2,,,,,0.2,,,,,,,,,,,
111,,0.9,,0.6,0.06,2.4,1.0,,,,,,,,,,,,,,,,,,,,
112,,0.9,,0.3,0.09,9.0,0.9,0.4,,,0.2,,,0.06,,,,,,,,,,,,,
113,,0.9,,0.3,0.1,9.0,0.9,0.4,,,0.2,,,0.05,,1.0,,,,,,,,,,,
114,,1.6,,0.4,0.06,,0.3,1.0,0.025,0.025,,,,,,,,,,,,,,,,,
115,1.6,2.05,,0.35,0.019,20.5,4.6,25.1,0.014,0.015,,0.04,,,,,,,,,,,,,,,
116,1.6,2.05,,0.35,0.019,20.5,4.6,25.1,0.014,0.015,,0.04,,,,,,,,,,,,,,,
117,,1.26,,0.45,0.03,24.6,,7.9,0.02,0.003,,0.13,,,,,,,,,,,,,,,
118,,1.4,,0.8,0.03,23.0,3.3,9.5,0.02,0.008,,0.14,,,,,,,,,,,,,,,
119,,1.4,,0.6,0.03,23.0,3.2,9.8,0.02,0.008,,0.15,,,,,,,,,,,,,,,
120,,1.4,,0.8,0.03,23.0,3.3,9.5,0.02,0.008,,0.14,,,,,,,,,,,,,,,
121,,0.82,,0.54,0.03,22.49,3.43,9.35,0.015,0.003,,0.15,,,,,,,,,,,,,,,
122,0.031,1.18,,0.5,0.026,25.7,3.79,9.6,,,,0.24,,0.016,,0.1,,,,,,,,,,,
123,,6.7,,0.7,0.1,18.5,,8.8,,,,,,,,,,,,,,,,,,,
124,,6.3,,0.7,0.1,18.8,,9.0,,,,,,,,,,,,,,,,,,,
125,,1.4,,0.7,0.03,20.0,,10.5,0.02,0.008,,0.014,,,,,,,,,,,,,,,
126,,1.4,,0.88,0.06,20.5,,10.5,0.019,0.008,,,,,,,,,,,,,,,,,
127,,1.4,,0.7,0.025,20.0,,10.5,0.02,0.008,,,,,,,,,,,,,,,,,
128,,1.3,,0.7,0.03,23.5,0.1,12.5,0.018,0.005,,,,,,,,,,,,,,,,,
129,,1.4,,0.7,0.02,23.2,2.3,12.7,0.018,0.007,,,,,,,,,,,,,,,,,
130,,0.9,,0.55,0.025,23.0,2.3,12.0,,,,,,,,,,,,,,,,,,,
131,,1.4,,0.7,0.03,23.0,,12.5,0.02,0.08,,,,0.8,,,,,,,,,,,,,
132,,1.3,,0.7,0.03,23.5,0.1,12.5,0.0018,0.005,,,,,,,,,,,,,,,,,
133,,2.1,,0.58,0.18,25.5,,20.36,,,,,,,,,,,,,,,,,,,
134,,1.2,,0.6,0.12,29.5,,9.5,,,,,,,,,,,,,,,,,,,
135,,1.4,,0.7,0.03,18.5,2.55,12.5,,,,,,,,,,,,,,,,,,,
136,,1.6,,0.9,0.02,18.9,2.3,12.5,,,,,,,,,,,,,,,,,,,
137,,1.4,,0.7,0.03,18.5,2.55,12.5,,,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,1.3,,0.5,0.02,18.5,2.8,11.6,0.02,0.012,,,,0.4,,,,,,,,,,,,,
140,,1.6,,0.8,0.02,19.0,,10.2,0.021,0.004,,,,,,,0.7,,,,,,,,,,
141,,1.3,,0.6,0.03,18.7,,10.4,,,,,,0.6,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,0.9,,0.9,0.05,13.5,0.75,4.5,,,,,79.4,,,,,,,,,,,,,,
144,,0.7,,0.8,0.08,25.0,,4.0,0.02,0.008,,,,,,,,,,,,,,,,,
145,,2.0,,0.6,2.5,11.5,,,,,,,,5.0,,,,2.2,,,,,,,,,
146,1.34,1.56,,0.66,0.03,20.9,4.8,25.3,0.024,0.003,,0.13,,,,,,,,,,,,,,,
147,0.05,1.0,,0.3,0.1,9.0,1.0,0.3,0.01,0.008,0.2,0.05,,0.05,,,,,0.03,,,,,,,,
148,,1.4,,0.4,0.05,,,,0.015,0.015,,,,,,,,,,,,,,,,,
149,0.12,1.55,,0.5,0.085,0.02,,0.97,0.011,0.007,,,,,,,,,,,,,,,,,
150,,1.6,,0.4,0.05,0.5,0.5,2.2,0.015,0.015,,,,,,,,,,,,,,,,,
151,,1.3,,0.6,0.07,1.2,1.0,2.3,0.015,0.015,,,,,,,,,,,,,,,,,
152,,1.1,,0.3,0.07,1.1,0.5,,0.012,0.012,,,,,,,,,,,,,,,,,
153,,1.0,,0.3,0.07,2.3,1.1,,0.015,0.015,,,,,,,,,,,,,,,,,
154,,1.4,,0.3,0.05,,0.5,,0.015,0.015,,,,,,,,,,,,,,,,,
155,0.06,0.74,,0.16,0.018,15.5,15.9,57.5,,,,,6.02,,,3.6,,,,,,,,,,,
156,,0.45,,0.3,0.15,15.0,4.0,0.6,,,,,64.5,,,,,,,15.0,,,,,,,
157,,0.4,,0.7,0.1,15.0,3.2,,,,,,,,,,,,,14.0,,,,,,,
158,1.0,0.5,,,,,,0.35,,,,,3.6,,,,,,12.5,,,,,,,,
159,1.0,,,,0.2,,,,,,,,4.0,,,,,,13.5,,,,,,,,
160,,4.5,,0.6,0.7,,,60.199999999999996,,,,,34.0,,,,,,,,,,,,,,
161,,0.6,,0.4,0.06,0.6,0.1,,,,6.0,,92.24,,,,,,,,,,,,,,
162,,1.5,,0.6,0.12,5.5,0.5,,,,,,,,,,,,,,,,,,,,
163,,1.45,,0.55,0.05,,,,0.011,0.01,,,,,,,,,,,,,,,,,
164,,1.4,,0.575,0.1,,,,0.015,0.015,,,,,,,,,,,,,,,,,
165,,0.46,,0.3,0.02,11.9,0.6,4.3,,,,,82.42,,,,,,,,,,,,,,
166,,1.5,,0.7,0.05,,,,0.015,0.015,,,,,,,,,,,,,,,,,
167,,1.45,,0.63,0.05,,,,0.011,0.01,,,,,,,,,,,,,,,,,
168,,1.3,,0.7,0.05,,,0.9,0.015,0.015,,,,,,,,,,,,,,,,,
169,,1.4,,0.6,0.05,,,2.2,0.01,0.01,,,,,,,,,,,,,,,,,
170,,1.5,,0.6,0.5,6.0,0.9,,,,,,,,,,,,,,,,,,,,
171,,1.7,,0.6,0.06,,0.4,0.95,0.015,0.015,,,,,,,,,,,,,,,,,
172,,1.6,,0.4,0.05,0.5,0.5,2.2,0.015,0.015,,,,,,,,,,,,,,,,,
173,,1.5,,0.5,0.07,0.55,0.6,2.7,0.015,0.015,,,,,,,,,,,,,,,,,
174,,1.4,,0.3,0.05,1.1,0.5,,0.015,0.015,,,,,,,,,,,,,,,,,
175,,1.0,,0.3,0.07,2.3,1.1,,0.015,0.015,,,,,,,,,,,,,,,,,
176,,1.3,,0.7,0.05,,0.5,,0.015,0.015,,,,,,,,,,,,,,,,,
177,,16.0,,0.4,0.4,14.0,0.6,1.2,,,0.2,,67.2,,,,,,,,,,,,,,
178,,3.2,,0.3,0.045,21.0,,70.0,,,,,2.1,,0.3,,2.7,,,,,,,,,,
179,,6.0,,0.3,0.01,17.0,,68.99,,,,,6.0,1.7,,,,,,,,,,,,,
180,,0.41,,0.36,0.03,21.6,9.1,60.8,,,,,4.1,,,,3.4,,,,,,,,,,
181,,0.4,,0.3,0.025,21.0,9.0,65.475,,,,,0.4,3.4,,,,,,,,,,,,,
182,,,,4.2,0.75,13.5,,73.55,,,,,5.0,,,,,3.0,,,,,,,,,
183,,,,4.5,0.35,22.0,,64.55,,,,,5.0,,,2.0,,1.6,,,,,,,,,
184,,2.45,,0.45,0.1,,,36.0,,,,,61.0,,,,,,,,,,,,,,
185,0.45,1.3,,0.5,0.05,,,1.1,0.015,0.015,,,,,,,,,,,,,,,,,
186,,1.22,,0.48,0.05,,,,0.013,0.009,,,,,,,,,,,,,,,,,
187,,1.3,,0.5,0.08,,,,0.015,0.015,,,,,,,,,,,,,,,,,
188,,1.3,,0.5,0.05,,,,0.015,0.015,,,,,,,,,,,,,,,,,
189,,1.3,,0.5,0.05,,,0.8,0.015,0.015,,,,,,,,,,,,,,,,,
190,,1.15,,0.3,0.06,,,1.41,0.009,0.007,,,,,,,,,,,,,,,,,
191,,1.6,,0.6,0.08,,,0.95,0.015,0.015,,,,,,,,,,,,,,,,,
192,,1.4,,0.5,0.08,,0.38,1.7,0.015,0.015,,,,,,,,,,,,,,,,,
193,,1.7,,0.5,0.08,,,2.0,0.015,0.015,,,,,,,,,,,,,,,,,
194,,1.0,,0.3,0.05,1.1,0.5,,0.015,0.015,,,,,,,,,,,,,,,,,
195,,1.3,,0.5,0.05,,0.5,,0.015,0.015,,,,,,,,,,,,,,,,,
196,,1.25,,0.5,0.05,,0.5,,0.015,0.015,,,,,,,,,,,,,,,,,
197,0.6,1.4,,0.6,0.025,25.9,3.8,9.0,0.015,0.008,,0.24,,,,0.6,,,,,,,,,,,
198,0.125,0.05,,0.95,,,,,,,0.1,,0.95,,,,,,99.475,,,,,,,,
199,,,,,,,,,,,,,,,,,,,99.5,,,,,,,,
200,,,,,,,,,,,,,,,0.15,,,,0.85,,,,,,,,
201,,,,,,,,,,,,,,,,,,,99.5,,,,,,,,
202,6.2,0.3,,0.15,,,,,,,0.1,,,,0.17,,,,92.74,,0.2,0.14,,,,,
203,,0.5,,0.4,0.1,22.0,2.0,57.0,,,,,3.0,0.5,0.1,14.0,,,0.3,5.0,,0.015,,,,,
204,0.75,2.0,,0.5,0.015,33.0,1.25,31.5,0.02,0.01,,0.475,30.480000000000004,,,,,,,,,,,,,,
205,0.5,1.0,,1.0,0.0425,24.5,2.0,45.35419999999999,,,,,3.0,1.5,1.5,,,0.0033,1.1,18.5,,,,,,,
206,0.5,1.0,,1.0,0.0425,24.5,2.0,45.35419999999999,,,,,3.0,1.5,1.5,,,0.0033,1.1,18.5,,,,,,,
207,2.15,1.0,,0.4,0.05,21.5,3.0,42.0,,,,,22.0,,0.8999999999999999,,,,0.2,,,,,,,,
208,2.15,1.0,,0.4,0.05,21.5,3.0,42.0,,,,,22.0,,0.8999999999999999,,,,0.2,,,,,,,,
